apply,pared,public,gpa
very likely,0,0,3.26
somewhat likely,1,0,3.21
unlikely,1,1,3.9400001
somewhat likely,0,0,2.8099999
somewhat likely,0,0,2.53
unlikely,0,1,2.5899999
somewhat likely,0,0,2.5599999
somewhat likely,0,0,2.73
unlikely,0,0,3
somewhat likely,1,0,3.5
unlikely,1,1,3.6500001
somewhat likely,0,0,2.8399999
very likely,0,1,3.9000001
somewhat likely,0,0,2.6800001
unlikely,1,0,3.5699999
unlikely,0,0,3.0899999
unlikely,0,1,3.5
unlikely,0,0,2.1700001
very likely,0,1,3.3599999
somewhat likely,0,0,3.4000001
very likely,0,0,2.75
somewhat likely,1,0,3.2
unlikely,0,0,2.4400001
unlikely,0,0,2.8299999
unlikely,0,1,3
somewhat likely,0,1,3.27
somewhat likely,1,0,3.1400001
somewhat likely,0,0,3.3699999
very likely,0,1,2.79
unlikely,0,0,2.9000001
somewhat likely,0,0,3.3800001
unlikely,0,1,2.95
unlikely,0,0,2.98
unlikely,1,1,3.8099999
unlikely,0,0,2.74
unlikely,0,0,2.6199999
unlikely,0,0,2.8499999
somewhat likely,0,0,2.5
somewhat likely,0,0,2.75
unlikely,0,0,2.26
unlikely,0,0,2.03
somewhat likely,1,0,2.8499999
unlikely,0,0,2.72
somewhat likely,0,0,2.8900001
somewhat likely,1,0,2.47
unlikely,0,0,3.04
unlikely,0,0,3.0999999
unlikely,0,0,2.5699999
unlikely,0,0,2.0899999
somewhat likely,0,0,2.9400001
unlikely,0,0,3.45
unlikely,0,0,2.76
very likely,0,1,2.96
unlikely,0,0,2.8900001
somewhat likely,0,0,2.97
somewhat likely,0,1,3.9100001
somewhat likely,0,0,2.77
unlikely,0,0,2.51
unlikely,0,0,3.24
unlikely,0,0,2.4400001
somewhat likely,0,0,2.78
unlikely,0,0,2.9400001
unlikely,1,0,3.22
unlikely,0,0,3.5
very likely,1,0,3.5699999
somewhat likely,0,0,3.1700001
unlikely,0,1,3.23
unlikely,0,0,2.9100001
unlikely,0,0,3.28
unlikely,0,1,3.3199999
unlikely,0,0,3.6199999
unlikely,0,0,2.55
unlikely,0,0,2.97
very likely,1,0,3.6300001
unlikely,0,1,3.02
unlikely,0,1,3.5999999
unlikely,0,0,2.95
very likely,1,1,3.8099999
somewhat likely,1,0,2.6800001
unlikely,1,0,3.72
unlikely,0,0,2.49
unlikely,0,0,2.72
unlikely,1,0,2.25
unlikely,0,0,2.53
unlikely,0,0,3.26
very likely,0,0,2.5699999
unlikely,0,0,2.9000001
unlikely,0,0,3.05
somewhat likely,0,0,2.8499999
somewhat likely,0,0,4
very likely,1,0,3.4000001
somewhat likely,0,1,3.24
unlikely,0,1,3.51
very likely,0,0,2.55
unlikely,0,0,3.0599999
very likely,0,0,3
somewhat likely,0,0,3.1300001
unlikely,0,0,3.1600001
somewhat likely,0,0,2.47
somewhat likely,0,0,2.8900001
unlikely,0,0,2.74
unlikely,0,0,3.1600001
unlikely,0,0,2.9200001
somewhat likely,0,0,3.5699999
somewhat likely,1,0,3.49
somewhat likely,0,1,2.5599999
somewhat likely,1,0,3.1199999
somewhat likely,1,0,2.6500001
somewhat likely,0,0,2.51
somewhat likely,0,0,3.0799999
somewhat likely,0,0,2.6500001
unlikely,0,0,2.99
unlikely,0,0,2.6300001
somewhat likely,0,0,2.8
somewhat likely,0,1,3.46
unlikely,0,0,3.6099999
unlikely,0,0,3.0799999
unlikely,1,0,3.28
unlikely,0,1,3.3099999
unlikely,0,0,2.5699999
somewhat likely,0,0,3.3900001
unlikely,0,0,2.26
unlikely,0,0,2.4200001
unlikely,0,0,2.5999999
somewhat likely,1,1,3.4400001
somewhat likely,0,0,2.98
somewhat likely,1,0,3.0899999
unlikely,0,1,3.3399999
unlikely,0,0,2.8399999
unlikely,0,0,2.8099999
unlikely,0,0,2.79
unlikely,0,0,2.4000001
unlikely,0,0,3.02
somewhat likely,0,0,2.6500001
somewhat likely,0,0,2.55
somewhat likely,1,0,3.1199999
unlikely,0,0,2.98
very likely,1,0,3.6099999
unlikely,0,0,2.98
unlikely,0,0,3.1900001
unlikely,0,0,3.51
unlikely,0,0,3.0999999
unlikely,0,0,3.55
unlikely,0,0,2.98
very likely,0,0,2.99
unlikely,0,0,3.05
unlikely,0,0,2.99
unlikely,0,0,2.3199999
unlikely,0,0,2.5
unlikely,0,1,2.9000001
very likely,1,1,3.28
somewhat likely,0,0,2.95
somewhat likely,0,0,3.54
somewhat likely,0,0,3.1099999
unlikely,1,0,3.25
unlikely,0,0,2.4400001
unlikely,0,0,2.1300001
somewhat likely,0,0,3.22
somewhat likely,0,0,3.1600001
unlikely,0,0,3.3900001
somewhat likely,0,0,2.7
somewhat likely,0,0,3.0899999
somewhat likely,0,0,3.1600001
unlikely,0,0,2.28
unlikely,0,0,2.9100001
unlikely,0,0,3.6500001
unlikely,0,0,2.8599999
unlikely,0,1,3.3900001
unlikely,0,0,3.71
unlikely,0,0,3.25
unlikely,0,0,3.1400001
unlikely,0,0,2.4100001
somewhat likely,0,0,3.0799999
unlikely,0,1,3.02
somewhat likely,0,0,3.1500001
very likely,0,0,2.95
unlikely,0,0,2.22
somewhat likely,0,0,2.8599999
somewhat likely,1,0,2.8800001
very likely,0,0,2.6199999
unlikely,0,0,3.3699999
somewhat likely,0,0,3.51
somewhat likely,0,0,3.6500001
very likely,1,0,3.4200001
very likely,0,0,2.4100001
very likely,0,1,3.21
unlikely,0,0,3.22
unlikely,0,0,2.53
somewhat likely,0,0,2.6400001
unlikely,0,0,2.9400001
somewhat likely,0,0,2.5599999
unlikely,0,1,3.1199999
somewhat likely,0,0,3.3399999
unlikely,0,0,3.22
somewhat likely,0,0,3.05
somewhat likely,0,0,3.29
somewhat likely,0,0,2.71
unlikely,0,0,2.8699999
unlikely,0,0,3.29
unlikely,0,0,3.3599999
unlikely,1,1,2.8499999
unlikely,0,0,2.79
somewhat likely,0,0,3.6900001
very likely,0,0,3.5599999
unlikely,0,0,3.52
unlikely,1,1,3.3800001
very likely,0,1,3.1099999
somewhat likely,1,0,3.2
unlikely,0,0,2.8299999
unlikely,0,0,3.0799999
very likely,0,1,2.97
unlikely,0,0,2.6400001
unlikely,0,0,2.47
very likely,0,0,3.0699999
somewhat likely,0,0,3.2
unlikely,0,0,2.55
unlikely,0,0,2.48
unlikely,0,0,3.29
somewhat likely,0,0,2.6400001
somewhat likely,0,0,3.22
somewhat likely,1,0,2.8
somewhat likely,0,0,3.6199999
unlikely,0,0,2.6199999
somewhat likely,0,1,3.04
unlikely,0,1,2.49
unlikely,0,1,3.0999999
very likely,1,0,3.1500001
somewhat likely,0,0,2.6500001
unlikely,0,0,3.04
unlikely,0,1,3.05
unlikely,0,0,2.8800001
somewhat likely,0,0,2.8599999
somewhat likely,0,0,3
unlikely,0,0,2.23
unlikely,0,1,3.1400001
unlikely,0,0,2.6700001
unlikely,0,0,3.1099999
somewhat likely,0,0,3.73
somewhat likely,0,0,2.45
unlikely,0,0,3.04
unlikely,0,0,2.4000001
somewhat likely,0,0,3.4300001
somewhat likely,0,0,2.5699999
unlikely,0,0,2.8399999
unlikely,0,0,2.6700001
very likely,1,1,3.45
somewhat likely,1,0,2.8800001
somewhat likely,0,0,2.78
unlikely,0,0,3.22
unlikely,1,0,3.3
somewhat likely,1,0,2.8599999
somewhat likely,0,0,2.8299999
somewhat likely,0,0,3.7
somewhat likely,0,0,3.1500001
somewhat likely,1,1,3.0799999
unlikely,0,0,2.9200001
unlikely,0,0,2.8900001
very likely,1,0,3.53
unlikely,0,0,3.0999999
somewhat likely,1,0,3.3599999
somewhat likely,0,0,2.74
somewhat likely,0,0,2.73
unlikely,1,0,2.72
unlikely,0,0,3.53
unlikely,1,0,3.45
unlikely,0,0,2.98
somewhat likely,0,0,2.8800001
very likely,1,0,3.21
unlikely,0,0,3.0599999
unlikely,0,0,2.4000001
somewhat likely,0,0,3.5699999
unlikely,1,0,2.8800001
unlikely,0,0,3.27
unlikely,0,0,2.9200001
very likely,0,0,2.7
somewhat likely,1,0,2.53
somewhat likely,0,0,3.3800001
unlikely,0,0,3.1600001
somewhat likely,0,0,2.5999999
unlikely,0,0,2.76
unlikely,0,0,3.5599999
unlikely,0,0,2.8699999
somewhat likely,1,0,2.99
unlikely,0,0,2.6800001
unlikely,0,0,2.99
somewhat likely,0,0,2.96
unlikely,1,1,2.77
somewhat likely,0,0,3.28
unlikely,0,1,2.74
unlikely,0,0,1.9
unlikely,0,0,3.05
somewhat likely,0,1,2.4400001
somewhat likely,0,0,3.3299999
somewhat likely,0,1,3.5599999
unlikely,0,0,2.1500001
unlikely,0,0,2.8299999
somewhat likely,0,0,2.79
somewhat likely,0,0,2.72
very likely,1,0,3.04
unlikely,0,1,3.03
unlikely,0,0,2.8800001
somewhat likely,0,0,3.21
unlikely,0,0,2.74
unlikely,0,0,3.5699999
somewhat likely,0,0,2.4300001
unlikely,0,0,3.1099999
unlikely,0,0,2.76
somewhat likely,0,0,3.1300001
unlikely,0,0,2.75
unlikely,0,0,2.5999999
unlikely,0,0,3.6700001
unlikely,0,0,3.26
unlikely,0,0,3.4100001
very likely,0,0,3.24
unlikely,0,0,3.05
somewhat likely,1,0,2.3800001
somewhat likely,0,0,2.6099999
somewhat likely,1,1,3.1800001
unlikely,0,0,3.3399999
somewhat likely,0,0,2.8399999
unlikely,0,0,2.8
unlikely,0,0,3.21
unlikely,0,0,2.6300001
unlikely,0,0,2.3099999
unlikely,0,0,2.29
unlikely,0,0,3.51
somewhat likely,0,0,2.8699999
unlikely,0,0,3.0899999
somewhat likely,1,0,2.8800001
unlikely,1,0,2.47
somewhat likely,0,1,3.72
unlikely,0,0,3.2
somewhat likely,0,0,2.5699999
unlikely,0,0,3.05
unlikely,0,0,3.27
unlikely,0,0,3.3
unlikely,0,0,2.73
unlikely,1,0,2.6300001
unlikely,0,0,2.77
unlikely,0,0,3.1500001
unlikely,0,0,2.8499999
unlikely,0,0,2.25
somewhat likely,0,0,3.5599999
unlikely,0,0,2.7
very likely,0,0,2.9400001
somewhat likely,1,0,2.5799999
somewhat likely,0,0,2.97
very likely,0,0,3.3800001
very likely,0,0,2.96
unlikely,0,0,2.4400001
somewhat likely,0,1,3.75
somewhat likely,0,0,3.0699999
somewhat likely,0,0,2.72
unlikely,0,0,3.1300001
unlikely,0,0,3.3900001
unlikely,0,1,2.3800001
somewhat likely,0,0,2.8699999
unlikely,0,1,2.9100001
very likely,1,0,3.25
somewhat likely,1,1,3.51
unlikely,1,0,3.6500001
somewhat likely,0,0,3.1099999
very likely,0,0,2.71
unlikely,0,0,3.05
unlikely,0,0,2.9300001
somewhat likely,0,0,2.3499999
somewhat likely,0,0,2.49
unlikely,0,0,3.26
unlikely,0,0,3.77
unlikely,0,1,3.49
unlikely,0,0,3.3900001
unlikely,0,0,3.3699999
unlikely,0,0,1.98
unlikely,1,0,2.9300001
unlikely,0,0,3.3599999
unlikely,0,0,3.1199999
somewhat likely,0,0,3.23
somewhat likely,0,1,3.9000001
unlikely,0,0,2.7
unlikely,0,0,2.3399999
unlikely,0,0,3.3
somewhat likely,0,0,3.1099999
unlikely,0,0,3.1400001
somewhat likely,1,0,3.6800001
somewhat likely,0,0,2.22
unlikely,0,0,2.6099999
somewhat likely,0,1,3.48
very likely,0,0,3.0799999
unlikely,0,0,2.79
unlikely,0,0,3.1199999
unlikely,0,1,2.6700001
somewhat likely,0,0,3.54
very likely,0,0,2.98
somewhat likely,1,0,3.3199999
somewhat likely,1,0,3.54
unlikely,0,0,3.7
unlikely,0,0,2.6300001
somewhat likely,0,0,2.25
somewhat likely,0,0,3.26
very likely,0,0,3.52
